Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Cameron Goode,25,MIA,LB,17,0,0,1,0,0,0,39.6,1,0,0,4,1,2,0,0,3,6,1
Mike Greene,24,TAM,DL,10,2,0,0,0,0,0,,,0,0,0,0,0,0,0,0,6,1
Jalen Harris,24,WAS,DE,5,0,0,1,1,1,0,79.2,1,1,0,0,0,1,1,0,1,6,0
Chris Lammons,27,IND,CB,4,1,0,2,0,7,0,41.7,9,3,4,2,0,0,0,0,0,6,0
Isaiah Land,23,IND,LB,7,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,6,0
Tristin McCollum,24,PHI,DB,3,0,0,2,1,6,0,56.2,5.5,6,0,0,0,0,0,0,0,6,0
Isaiah McGuire,22,CLE,DE,4,1,0,0,0,0,0,,,0,0,1,1,1,0,1,3,6,0
Riley Moss,23,DEN,CB,14,0,0,1,1,14,0,118.7,0,0,14,0,0,0,0,0,0,6,0
Israel Mukuamu,24,DAL,S,14,0,0,3,1,9,0,42.4,4.7,8,1,0,0,0,0,0,0,6,0
David Ojabo,23,BAL,OLB,3,1,0,0,0,0,0,,,0,0,0,1,0,0,1,2,6,1
Baylon Spector,25,BUF,LB,9,0,0,1,1,8,0,100,1,1,7,0,0,0,0,0,0,6,0
Eric Stokes,24,GNB,CB,3,2,0,8,6,79,3,145.3,13.3,56,23,0,0,0,0,0,0,6,0
Keir Thomas,25,LAR,OLB,8,0,0,1,1,20,0,118.7,13,13,7,2,0,2,0,0,2,6,0
Garret Wallow,24,TEN,LB,3,0,0,3,3,18,0,91.7,0.3,1,17,2,0,0,0,0,0,6,0
Al Woods,36,NYJ,DL,6,0,0,1,1,11,0,112.5,-4,-4,15,0,1,1,0,1,3,6,0
Adetomiwa Adebawore,22,IND,DE,10,0,0,1,1,1,0,79.2,-4,-4,5,0,0,2,0,1.5,4,5,1
Robert Beal,24,SFO,DL,4,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,5,0
Earnest Brown IV,24,LAR,DE,7,0,0,1,1,6,0,91.7,-1,-1,7,0,0,0,0,0,0,5,0
Jalen Davis,27,CIN,CB,16,0,0,7,4,43,1,114.9,9.9,36,7,0,0,0,0,0,0,5,1
Brandon Facyson,29,LVR,CB,3,0,0,6,4,51,0,93.1,7.3,29,22,1,0,0,0,0,0,5,3
Mario Goodrich,23,PHI,CB,4,1,0,10,10,118,1,149.2,5.7,57,61,0,0,0,0,0,0,5,2
Vincent Gray,24,CLE,DB,1,0,0,7,5,30,0,79.5,3.6,11,19,0,0,0,0,0,0,5,2
Jalyn Holmes,27,NYJ,DL,5,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,5,1
Kingsley Jonathan,25,BUF,DE,13,0,0,0,0,0,0,,,0,0,0,3,2,0,0,5,5,0
Marcus Jones,25,NWE,DB,2,1,0,5,4,50,1,147.9,5.4,2,48,1,0,0,0,0,0,5,0
Kyu Blu Kelly,22,2TM,CB,3,0,0,4,4,22,1,129.2,3,12,10,1,0,0,0,0,0,5,0
Kyu Blu Kelly,22,GNB,CB,1,0,0,1,1,15,0,118.7,5,5,10,0,0,0,0,0,0,0,0
Kyu Blu Kelly,22,WAS,CB,2,0,0,3,3,7,1,118.7,2.3,7,0,1,0,0,0,0,0,5,0
Raheem Layne,24,LAC,S,5,1,0,3,3,29,0,106.9,6,18,11,0,0,0,0,0,0,5,0
Parry Nickerson,29,MIA,CB,5,0,0,6,3,54,0,81.2,11.7,43,11,4,0,0,0,0,0,5,0
Levi Onwuzurike,25,DET,DL,10,0,0,2,2,30,0,118.7,-1.5,-3,33,0,0,1,0,1,2,5,2
Sam Roberts,25,NWE,DL,7,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,5,1
Chris Rumph,25,LAC,OLB,6,0,0,1,1,0,0,79.2,-3,-3,3,0,0,0,0,0,0,5,0
Jason Taylor,24,LAR,DB,8,0,0,1,1,26,0,118.7,15,15,11,0,0,0,0,0,0,5,1
Roderic Teamer,26,LVR,S,6,0,0,2,1,19,0,83.3,2,4,15,0,0,0,0,0,0,5,0
Divaad Wilson,23,ARI,CB,2,1,0,7,3,54,0,69.9,6.3,41,13,1,0,0,0,0,0,5,1
JT Woods,23,LAC,S,3,0,0,3,2,23,0,89.6,7.3,2,21,0,0,0,0,0,0,5,1
Nahshon Wright,25,DAL,CB,12,0,0,6,4,17,1,109.7,3.8,-3,20,0,0,0,0,0,0,5,2
Tariq Castro-Fields,24,WAS,CB,8,1,0,3,3,31,1,149.3,10.3,31,0,0,0,0,0,0,0,4,1
Trevon Diggs,25,DAL,CB,2,2,1,9,3,31,0,4.6,10.6,9,22,0,0,0,0,0,0,4,0
Samuel Eguavoen,30,NYJ,LB,15,0,0,2,0,0,0,39.6,0.5,0,0,0,0,0,0,0,0,4,0
Royce Freeman,27,LAR,RB,14,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,4,0
Innis Gaines,25,GNB,S,4,0,0,3,1,5,0,42.4,-1,3,2,0,0,0,0,0,0,4,0
Elijah Garcia,25,DEN,DL,3,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,4,0
C.J. Goodwin,33,DAL,CB,5,0,0,2,2,14,0,95.8,3,6,8,0,0,0,0,0,0,4,0
Nick Hampton,23,LAR,OLB,10,0,0,2,1,11,0,66.7,-2,-5,16,2,0,0,0,0,0,4,0
Tayler Hawkins,26,SFO,S,1,1,1,3,2,46,0,70.1,20.7,43,3,2,0,0,0,0,0,4,0
Timmy Horne,26,ATL,DL,3,0,0,0,0,0,0,,,0,0,0,1,0,1,0,1,4,0
Buddy Johnson,24,DAL,LB,2,0,0,0,0,0,0,,,0,0,0,0,1,0,0,1,4,0
Andre Jones,25,WAS,DE,14,2,0,0,0,0,0,,,0,0,0,0,0,3,0,0,4,2
Nic Jones,22,KAN,CB,9,0,0,2,2,17,0,102.1,1.5,3,14,2,0,1,0,0,1,4,0
Eku Leota,24,CAR,OLB,8,0,0,1,0,0,0,39.6,0,0,0,1,1,0,0,0,1,4,2
Blake Martinez,29,PIT,LB,1,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,4,1
Pat O'Connor,30,TAM,DL,11,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,4,1
AJ Parker,25,CAR,CB,1,0,0,3,2,14,0,77.1,6.3,11,3,0,0,0,0,0,0,4,1
Kendall Sheffield,27,SFO,DB,3,0,0,3,2,4,0,70.1,7,6,-2,0,0,0,0,0,0,4,0
Jalen Tolbert,24,DAL,WR,17,6,0,2,2,59,0,118.7,16.5,33,26,0,0,0,0,0,0,4,0
Markees Watts,24,TAM,OLB,7,0,0,2,2,13,0,93.7,0,0,13,0,0,1,0,1,2,4,0
Oshane Ximines,27,NYG,LB,3,0,0,1,1,7,0,95.8,4,4,3,2,0,2,0,0,2,4,1
Joe Bachie,25,CIN,LB,16,0,0,0,0,0,0,,,0,0,2,0,0,0,0,0,3,0
Sean Chandler,27,WAS,DB,2,1,0,2,1,4,1,95.8,8.5,2,2,0,0,0,0,0,0,3,0
Cory Durden,24,LAR,DT,4,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,3,1
Andrew Farmer,23,LAC,OLB,8,0,0,0,0,0,0,,,0,0,4,0,0,0,0,0,3,0
DJ Ivey,23,CIN,CB,8,0,0,2,1,4,0,56.2,18,2,2,0,0,0,0,0,0,3,0
Malik Jefferson,27,DAL,LB,3,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,3,1
Quindell Johnson,24,CHI,DB,9,0,1,1,1,37,0,79.2,25,25,12,0,0,0,0,0,0,3,0
Kana'i Mauga,23,LVR,LB,5,0,0,3,3,8,0,79.2,-1.3,-4,12,0,0,0,0,0,0,3,2
Von Miller,34,BUF,LB,12,0,0,2,2,11,0,89.6,-1.5,-3,14,3,2,3,0,0,5,3,1
Mike Morris,22,SEA,DE,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,3,1
Malik Reed,27,LVR,DB,4,2,0,2,2,23,0,114.6,-4.5,-9,32,3,0,0,0,0,0,3,0
Darius Rush,23,PIT,CB,3,0,0,2,1,12,0,68.7,13,7,5,0,0,0,0,0,0,3,0
Kevon Seymour,30,BAL,CB,8,0,0,1,1,1,0,79.2,0,0,1,0,0,0,0,0,0,3,0
Ameer Speed,24,NWE,CB,5,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,3,0
Tyrus Wheat,24,DAL,DE,12,0,0,1,1,11,0,112.5,4,4,7,5,0,0,0,0,0,3,2
McTelvin Agim,26,IND,DT,1,0,0,0,0,0,0,,,0,0,0,0,1,0,0,1,2,0
Joe Gaziano,27,ATL,DL,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2,1
Damar Hamlin,25,BUF,S,5,0,0,1,1,6,0,91.7,5,5,1,0,0,0,0,0,0,2,0
Devin Harper,25,CIN,LB,6,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,2,0
Tae Hayes,26,NYJ,CB,1,0,0,3,3,54,0,118.7,18,54,0,0,0,0,0,0,0,2,0
Thomas Incoom,24,DEN,OLB,4,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,2,1
Kelvin Joseph,24,MIA,CB,4,0,0,2,2,39,0,118.7,17.5,35,4,0,0,0,0,0,0,2,0
Ochaun Mathis,24,LAR,OLB,8,0,0,0,0,0,0,,,0,0,7,0,1,0,0,1,2,0
Tanner McCalister,23,CLE,S,3,0,0,0,0,0,0,,,0,0,2,0,0,0,0,0,2,0
T.Y. McGill,31,SFO,DL,2,0,0,0,0,0,0,,,0,0,0,0,1,0,0,1,2,0
Chris Moore,30,TEN,WR,17,5,0,1,0,0,0,39.6,37,0,0,0,0,0,0,0,0,2,0
Caleb Murphy,24,TEN,OLB,3,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,2,0
Efe Obada,31,WAS,DE,5,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,2,0
